career_path,prerequisites
Python Backend Developer,"python,flask,django,fastapi,sql,mysql,postgresql,rest_api,git,docker,jwt,aws"
Java Backend Developer,"java,spring,spring_boot,hibernate,maven,sql,mysql,rest_api,git,docker,microservices"
Node.js Backend Developer,"javascript,nodejs,express,mongodb,sql,rest_api,git,docker,jwt,redis"
React Frontend Developer,"html,css,javascript,typescript,react,redux,nextjs,tailwind,bootstrap,git,responsive_design"
Angular Frontend Developer,"html,css,javascript,typescript,angular,rxjs,bootstrap,git,responsive_design"
MERN Stack Developer,"mongodb,express,react,nodejs,javascript,html,css,git,rest_api,jwt,docker"
MEAN Stack Developer,"mongodb,express,angular,nodejs,typescript,html,css,git,rest_api,docker"
Data Analyst,"sql,excel,power_bi,tableau,python,pandas,data_visualization,statistics"
Data Scientist,"python,pandas,numpy,statistics,matplotlib,seaborn,scikit_learn,machine_learning,sql,jupyter"
Machine Learning Engineer,"python,numpy,pandas,scikit_learn,tensorflow,pytorch,deep_learning,mlops,docker,git"
Deep Learning Engineer,"python,tensorflow,pytorch,cnn,rnn,lstm,transformers,computer_vision,nlp,gpu"
AI Engineer,"python,machine_learning,deep_learning,tensorflow,pytorch,llms,langchain,rag,vector_database,prompt_engineering"
DevOps Engineer,"linux,docker,kubernetes,jenkins,github_actions,terraform,aws,azure,git,bash,ci_cd"
AWS Cloud Engineer,"aws,ec2,s3,iam,vpc,lambda,docker,kubernetes,terraform,linux"
Azure Cloud Engineer,"azure,virtual_machines,azure_storage,azure_functions,azure_devops,docker,kubernetes,terraform"
Cybersecurity Engineer,"linux,networking,python,wireshark,nmap,burp_suite,metasploit,owasp,cryptography,penetration_testing"
Android Developer,"java,kotlin,android_studio,xml,firebase,sqlite,git,material_design,rest_api"
Flutter Developer,"dart,flutter,firebase,rest_api,sqlite,git,state_management"
UI_UX Designer,"figma,adobe_xd,wireframing,prototyping,user_research,design_systems"
Blockchain Developer,"solidity,ethereum,web3,smart_contracts,javascript,hardhat,git"